,number_of_labels,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B100701413,0.3333333333333333,0.3550660792951542,0.18796372629843364,0.0,0.07258255629879835,0.0
B100701428,0.0,0.0,0.0,0.0,0.0,0.0
B100701511,0.3333333333333333,0.3101321585903084,0.11541632316570487,0.0,0.038928087310138686,0.0
B100701584,0.0,0.0,0.0,0.0,0.0,0.0
B100701647,0.3333333333333333,0.386784140969163,0.24154987633965375,0.0,0.1016072054878492,0.0
B100701799,0.3333333333333333,0.3568281938325991,0.27122835943940643,0.0,0.1052551337995014,0.0
B100701932,0.3333333333333333,0.5594713656387665,0.34954657873042044,0.0,0.2126825938997918,0.0
B100701967,0.3333333333333333,0.38237885462555066,0.23577906018136852,0.0,0.0980501199124118,0.0
B100701996,0.3333333333333333,0.5004405286343613,0.3396537510305029,0.0,0.18485785876561311,0.0
B100704477,0.3333333333333333,0.6088105726872247,0.3882934872217642,0.0,0.25709363279312186,0.0
B100704511,0.3333333333333333,0.5859030837004405,0.3503709810387469,0.0,0.22325589845835928,0.0
B100704547,0.3333333333333333,0.5806167400881057,0.34954657873042044,0.0,0.22072099114954769,0.0
B100704554,0.3333333333333333,0.5788546255506608,0.34707337180544107,0.0,0.21849415920702983,0.0
B100704915,0.3333333333333333,0.7427312775330397,0.49958779884583676,0.0,0.4035455524976223,0.0
B100711550,0.3333333333333333,0.5779735682819384,0.34789777411376754,0.0,0.2186797943636427,0.0
B100715355,0.3333333333333333,0.3770925110132159,0.2159934047815334,0.0,0.08858035711464513,0.0
B100716125,0.3333333333333333,0.3682819383259912,0.2728771640560594,0.0,0.10929408084529561,0.0
B100716161,0.3333333333333333,0.38502202643171807,0.23577906018136852,0.0,0.09872788571825797,0.0
B100716272,0.3333333333333333,0.44493392070484583,0.29101401483924155,0.0,0.14081809018550878,0.0
B100716445,0.3333333333333333,0.3118942731277533,0.2341302555647156,0.0,0.07941708980949884,0.0
B100716545,0.3333333333333333,0.37180616740088107,0.20939818631492169,0.0,0.08467174964689823,0.0
B100716596,0.3333333333333333,0.37356828193832603,0.22341302555647155,0.0,0.09076690227849382,0.0
B100716626,0.3333333333333333,0.3920704845814978,0.24979389942291838,0.0,0.10651113336977576,0.0
B100716671,0.0,0.0,0.0,0.0,0.0,0.0
